route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::3B1985FF-F66B-439A-B761-212BB96A931F:,002620,OCESN457150R1187_R:CTE:FR:Line::3B1985FF-F66B-439A-B761-212BB96A931F::87775007:87775288:2:855:20260429,457150,1,9065,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,002565,OCESN457151R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783605:87775007:3:2006:20260417,457151,1,9066,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000153,OCESN457151R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783605:87775171:2:1757:20260403,457151,0,9067,
FR:Line::C740EC91-0E03-4C5E-BA50-463B09FEE5E4:,001153,OCESN457152R1187_R:CTE:FR:Line::C740EC91-0E03-4C5E-BA50-463B09FEE5E4::87775007:87734350:9:1754:20260429,457152,1,9068,
FR:Line::C740EC91-0E03-4C5E-BA50-463B09FEE5E4:,000304,OCESN457152R1187_R:CTE:FR:Line::C740EC91-0E03-4C5E-BA50-463B09FEE5E4::87775288:87734350:7:1729:20260430,457152,1,9069,
FR:Line::3B1985FF-F66B-439A-B761-212BB96A931F:,002618,OCESN457153R1187_R:CTE:FR:Line::3B1985FF-F66B-439A-B761-212BB96A931F::87775213:87775007:9:737:20260427,457153,0,9070,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,001153,OCESN457154R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87775007:87783605:13:1635:20260429,457154,0,9071,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000304,OCESN457154R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87775288:87783605:11:1621:20260430,457154,0,9072,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,002618,OCESN457155R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783605:87775007:12:800:20260427,457155,1,9073,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,001153,OCESN457156R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87775288:87783605:11:2308:20260429,457156,0,9074,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000304,OCESN457156R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87775288:87783605:11:2220:20260430,457156,0,9075,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,002617,OCESN457157R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783605:87775007:12:900:20260430,457157,1,9076,
FR:Line::3B1985FF-F66B-439A-B761-212BB96A931F:,002620,OCESN457158R1187_R:CTE:FR:Line::3B1985FF-F66B-439A-B761-212BB96A931F::87775007:87775288:3:1735:20260429,457158,1,9077,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000215,OCESN457159R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87775171:87775007:7:900:20260425,457159,1,9078,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000599,OCESN457160R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87775007:87783605:3:2115:20260412,457160,0,9079,
FR:Line::3B1985FF-F66B-439A-B761-212BB96A931F:,002631,OCESN457161R1187_R:CTE:FR:Line::3B1985FF-F66B-439A-B761-212BB96A931F::87775213:87775007:5:900:20260427,457161,0,9080,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000599,OCESN457162R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783605:87783241:2:2210:20260412,457162,0,9081,
FR:Line::F9C657BA-C237-46F2-921F-357E7DC77C41:,002632,OCESN457163R1187_R:CTE:FR:Line::F9C657BA-C237-46F2-921F-357E7DC77C41::87783282:87783605:2:2321:20260628,457163,0,9082,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000599,OCESN457164R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783605:87783282:2:2200:20260412,457164,0,9083,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,002633,OCESN457165R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783605:87775007:13:2114:20260426,457165,1,9084,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000599,OCESN457166R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783605:87783241:3:2435:20260412,457166,0,9085,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000153,OCESN457167R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783282:87775171:14:1918:20260403,457167,1,9086,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,002565,OCESN457167R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783282:87775007:21:2228:20260417,457167,1,9087,
FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2:,000266,OCESN457167R1187_R:CTE:FR:Line::A465C694-FCFB-4B61-BA3F-99352D61F6F2::87783282:87783605:9:1808:20260626,457167,1,9088,
