id_gare;nom_gare;trigramme;lat;lon;id_commune;nom_commune
87317255;Anvin;ANV;50.446845; 2.25494;62036;ANVIN
87191643;Apach;APJ;49.458836; 6.371972;57026;APACH
87296459;Appilly;APP;49.5808826; 3.1221903;60021;APPILLY
87582726;Arbanats;ABH;44.6743555; -0.3954517;33007;ARBANATS
87718155;Arbois;AOI;46.912509; 5.7648273;39013;ARBOIS
87718841;Arc-et-Senans;ACA;47.0303516; 5.7767843;25021;ARC-ET-SENANS
87582668;Arcachon;ARC;44.659009; -1.16523;33009;ARCACHON
87144410;Arches;ARH;48.1198133; 6.5283085;88011;ARCHES
87683680;Arcy-sur-Cure;ACU;47.6008461; 3.7668885;89015;ARCY-SUR-CURE
87580340;Arenc Euroméditerranée;AEM;43.3132339; 5.3676221;13202;MARSEILLE--2E--ARRONDISSEMENT
87671479;Arengosse;ARO;44.0069764; -0.8093835;40006;ARENGOSSE
87784231;Argelès-sur-Mer;AMR;42.54397; 3.022349;66008;ARGELES-SUR-MER
87444539;Argentan;ARG;48.738545; -0.025291;61006;ARGENTAN
87381848;Argenteuil;ARW;48.94686; 2.25727;95018;ARGENTEUIL
87746859;Argentière;AGI;45.9819438; 6.9264844;74056;CHAMONIX-MONT-BLANC
87597120;Argenton-sur-Creuse;AGC;46.592248; 1.518305;36006;ARGENTON-SUR-CREUSE
87753657;Arles;ARS;43.684853; 4.63203;13004;ARLES
87345421;Arleux;ARX;50.2863204; 3.1208073;59015;ARLEUX
87286146;Armentières;ARM;50.68084; 2.87763;59017;ARMENTIERES
87396549;Arnage;AAG;47.9285663; 0.1898826;72008;ARNAGE
87281121;Arnèke;ARN;50.831522; 2.4083063;59018;ARNEKE
87545467;Arpajon;ARP;48.58617; 2.24112;91021;ARPAJON
87342014;Arras;ARR;50.286673; 2.781942;62041;ARRAS
87394486;Arrou;AOU;48.0997945; 1.1285567;28012;ARROU
87192401;Ars-sur-Moselle;ASM;49.0744745; 6.0776461;57032;ARS-SUR-MOSELLE
87543058;Artenay;ATY;48.0808761; 1.8833705;45008;ARTENAY
87672212;Artix;ATI;43.3931062; -0.5701881;64061;ARTIX
87734251;Arvant;ARV;45.3653797; 3.3106747;43038;BOURNONCLE-SAINT-PIERRE
87286864;Ascq;ASC;50.6218591; 3.1598992;59009;VILLENEUVE-D'ASCQ
87381137;Asnières-sur-Seine;AEE;48.9058; 2.28324;92004;ASNIERES-SUR-SEINE
87763250;Aspres-sur-Buëch;ASH;44.519428; 5.7545655;5010;ASPRES-SUR-BUECH
87672162;Assat;ATK;43.2543993; -0.2950176;64067;ASSAT
87613075;Assier;AER;44.6746197; 1.8697681;46009;ASSIER
87545251;Athis-Mons;ATH;48.712557; 2.403749;91027;ATHIS-MONS
87751750;Aubagne;AUB;43.296045; 5.56658;13005;AUBAGNE
87594465;Aubazines - Saint-Hilaire;ABA;45.1816781; 1.6412346;19211;SAINT-HILAIRE-PEYROUX
87386730;Aubergenville Élisabethville;AEH;48.971825; 1.8484987;78029;AUBERGENVILLE
87734111;Aubiat;AUK;45.983812; 3.1605115;63013;AUBIAT
87491233;Aubie - Saint-Antoine;ATX;45.0151419; -0.4198843;33018;AUBIE-ET-ESPESSAS
87611764;Aubiet;AIT;43.6502068; 0.7891179;32012;AUBIET
87396572;Aubigné-Racan;ABG;47.686945; 0.2657714;72013;AUBIGNE-RACAN
87345447;Aubigny-au-Bac;AAB;50.2685315; 3.158706;59026;AUBIGNY-AU-BAC
87342246;Aubigny-en-Artois;ABI;50.35297; 2.5928045;62045;AUBIGNY-EN-ARTOIS
87613224;Aubin;AVB;44.5272762; 2.2393128;12013;AUBIN
87316604;Aubin-Saint-Vaast;AUV;50.3946137; 1.9705382;62046;AUBIN-SAINT-VAAST
87191684;Auboué;ABE;49.216163; 5.9714608;54028;AUBOUE
87172122;Aubrives;ARI;50.1044507; 4.7616512;8028;AUBRIVES
87611749;Auch;AUH;43.647488; 0.596661;32013;AUCH
87317230;Auchy-lès-Hesdin;AHH;50.3963631; 2.1022448;62050;AUCHY-LES-HESDIN
87444059;Audrieu;ADR;49.2161315; -0.5960138;14026;AUDRIEU
87281428;Audruicq;ADQ;50.87567; 2.07636;62057;AUDRUICQ
87194357;Audun-le-Roman;ALR;49.36682; 5.89139;54029;AUDUN-LE-ROMAN
87415158;Auffay;AUF;49.716044; 1.098441;76034;AUFFAY
87562421;Aulnat Aéroport;AUL;45.7920571; 3.1614332;63019;AULNAT
87271411;Aulnay-sous-Bois;ABM;48.93179; 2.49431;93005;AULNAY-SOUS-BOIS
87295600;Aulnoye-Aymeries;AYE;50.19749; 3.84337;59033;AULNOYE-AYMERIES
87313767;Aumale;AUM;49.7650371; 1.7560425;76035;AUMALE
