id_commune;nom_commune;lat;lon
42255;SAINT-MARCEL-D'URFE;45.8708472787; 3.87977382868
51328;LOISY-SUR-MARNE;48.7501424119; 4.54084010874
25635;VYT-LES-BELVOIR;47.34826508; 6.62592546022
62818;TILLY-CAPELLE;50.4443030623; 2.1871596899
66136;PERPIGNAN;42.6965954131; 2.89936953979
24225;LAMONZIE-SAINT-MARTIN;44.8334514819; 0.387772567159
77011;AUFFERVILLE;48.2049342797; 2.60096783271
15080;JOURSAC;45.165021316; 3.01361412899
15099;LAVASTRIE;44.9348007487; 3.04219086155
32355;SADEILLAN;43.3960094567; 0.343407720125
2768;VAUXAILLON;49.4770651148; 3.40823751638
9212;MONTSERON;43.0208884939; 1.31655733885
86296;VOULON;46.3650497334; 0.24044017577
44034;LA CHAPELLE-SAINT-SAUVEUR;47.445449236; -0.980399582203
2534;MUSCOURT;49.3595795698; 3.74350239233
52330;MONTHERIES;48.1797188872; 4.90288673895
60097;BOUTENCOURT;49.3205572988; 1.87026132379
80027;ARMANCOURT;49.6767593182; 2.71293599073
76190;CRASVILLE-LA-ROCQUEFORT;49.8041521575; 0.877451277489
39586;ARESCHES;46.8933326292; 5.91985610861
24180;FIRBEIX;45.5924010837; 0.9420529735
70399;ORMOY;47.8850612988; 5.99402771513
58044;LA CELLE-SUR-LOIRE;47.4852979363; 2.93434517824
79246;SAINTE-EANNE;46.3915503941; -0.134321812271
61285;MONTGAROULT;48.751612807; -0.141264839999
8128;CONDE-LES-AUTRY;49.2451972649; 4.85549543299
22205;PLOREC-SUR-ARGUENON;48.4632496274; -2.30133142884
79084;CHENAY;46.3306772083; -0.0114425772663
22144;LA MEAUGON;48.5044768613; -2.84729418508
80589;NEUILLY-LE-DIEN;50.2260892349; 2.04754518311
18253;SOULANGIS;47.1798980762; 2.51528453779
59464;POIX-DU-NORD;50.185059973; 3.61684782607
89442;VERNOY;48.0940567499; 3.12610301658
43030;BLANZAC;45.1107801226; 3.85037132513
24205;GRIGNOLS;45.0847043136; 0.539775704647
48040;CHASSERADES;44.5519524888; 3.82030750728
76493;PALUEL;49.8443584396; 0.630759269257
33154;LES EGLISOTTES-ET-CHALAURES;45.0928940224; -0.0328830508669
12141;MARTRIN;43.9287986498; 2.63394013332
54383;MONT-SUR-MEURTHE;48.5493164912; 6.44216065788
18124;LAZENAY;47.0669527618; 2.0765874358
31362;MONTBERAUD;43.1595238311; 1.15513584785
16292;RUFFEC;46.039455304; 0.199192104707
14666;SANNERVILLE;49.183938753; -0.22288028462
62358;FRESNOY-EN-GOHELLE;50.3685369312; 2.89601093482
67030;BERGBIETEN;48.5771244719; 7.4507261973
76113;BOISSAY;49.5184469464; 1.3599768113
47065;CLAIRAC;44.371064569; 0.38579130311
25433;ORGEANS-BLANCHEFONTAINE;47.266487614; 6.75428346905
9162;LERCOUL;42.7098891708; 1.52802126242
65408;SARRANCOLIN;42.9604187161; 0.411895325406
10130;DOSNON;48.6149582778; 4.24653182563
47036;BOURLENS;44.4254220753; 0.972634935921
69269;YZERON;45.7095752496; 4.59542617149
3212;QUINSSAINES;46.3092023874; 2.49444625529
80792;LA VICOGNE;50.0639160287; 2.32503477883
9290;SENTEIN;42.8358878297; 0.920341995173
76285;FRESNE-LE-PLAN;49.4137813639; 1.29661509425
49155;GREZ-NEUVILLE;47.5951579943; -0.695965516847
86175;NALLIERS;46.6098862089; 0.879990310678
72228;PARCE-SUR-SARTHE;47.8213588323; -0.193405753909
32369;SAINTE-CHRISTIE-D'ARMAGNAC;43.7937355004; -0.00494982246103
8331;NOYERS-PONT-MAUGIS;49.6588347678; 4.9300445508
27249;FONTAINE-BELLENGER;49.1802280169; 1.2530305732
17469;VILLARS-EN-PONS;45.6039717298; -0.628988620843
76652;SAINT-VAAST-D'EQUIQUEVILLE;49.8151815963; 1.26095923266
1112;CONDAMINE;46.105831161; 5.55568206762
16338;SAINT-MEDARD;45.5085263849; -0.134402702237
25321;VILLERS-LE-LAC;47.0702797882; 6.68940922893
60418;MONTIERS;49.5038812733; 2.56965274789
32002;ANSAN;43.6870501224; 0.781408599383
43154;PRADELLES;44.7650507799; 3.87177102948
7257;SAINT-JULIEN-LE-ROUX;44.8675203578; 4.67592482949
59518;RUESNES;50.2634217469; 3.5818116421
73299;TRAIZE;45.6716573286; 5.73696272182
57308;HAZEMBOURG;48.9617561061; 6.94250550256
27448;PACY-SUR-EURE;49.0221961311; 1.39950768038
39246;GENDREY;47.1963062843; 5.68474768742
60080;BOISSY-LE-BOIS;49.278858787; 1.94117700611
6148;TOURRETTES-SUR-LOUP;43.7174536642; 7.03989376281
9267;SAINT-LARY;42.9005720195; 0.868448000614
32345;LA ROMIEU;43.9866068735; 0.503612353282
27245;FLEURY-LA-FORET;49.4265842006; 1.55588075817
4129;MONTJUSTIN;43.8452930923; 5.65023560321
7120;LACHAMP-RAPHAEL;44.8006451695; 4.28759440522
8339;PERTHES;49.4486431408; 4.35514092983
12145;MILLAU;44.0976252203; 3.11705384129
31188;FONTENILLES;43.5554168376; 1.19738282576
43207;SAINT-LAURENT-CHABREUGES;45.2768738182; 3.34696183552
12256;SALVAGNAC-CAJARC;44.4543375215; 1.87232547648
53210;SAINT-DENIS-D'ANJOU;47.7899907217; -0.443836396748
76284;FRESNAY-LE-LONG;49.6507422703; 1.09305102633
50209;GONNEVILLE;49.6319375816; -1.47264089403
16195;LUSSAC;45.8580701828; 0.466519460774
58258;SAINT-OUEN-SUR-LOIRE;46.8992684036; 3.3202343008
81151;MAGRIN;43.61527201; 1.9211779967
66162;RIGARDA;42.6279224154; 2.5378645197
7326;USCLADES-ET-RIEUTORD;44.7709560867; 4.1691617243
44071;HAUTE-GOULAINE;47.1960138107; -1.41049118184
27464;LE PLESSIS-GROHAN;48.9443249327; 1.1332422549
57281;HABOUDANGE;48.8851645447; 6.60344571848
62478;JOURNY;50.7533388277; 2.0030860324
22133;LOSCOUET-SUR-MEU;48.1756621507; -2.25102250347
42103;LA GRAND-CROIX;45.5040795864; 4.55860381813
40117;GRENADE-SUR-L'ADOUR;43.792570586; -0.422528940509
62447;HESDIN;50.3737561031; 2.03813237444
50497;SAINT-JORES;49.3026428787; -1.40297620425
71520;SEVREY;46.7358656662; 4.82878798473
64058;ARTHEZ-D'ASSON;43.0890909736; -0.253157457726
25499;ROMAIN;47.4439581352; 6.37976637275
45316;SURY-AUX-BOIS;47.9537349646; 2.35973695052
73226;SAINT-BERON;45.5067164494; 5.72513692798
37126;LERNE;47.1396272073; 0.110609738021
49160;INGRANDES;47.4154942142; -0.920314202965
11090;CEPIE;43.1079654901; 2.23811930779
47320;VILLEFRANCHE-DU-QUEYRAN;44.3035817658; 0.212075905878
71068;BURZY;46.5949751474; 4.58580654162
84053;GRILLON;44.3945766896; 4.93414256152
